batch	kind	accession	file_level	n_sample_rows	n_papers	dois	file_format	page_url	example_download_url	dest_dir	how	skip_reason
E	GSE	GSE118020	Level 2	8	1	10.1126/sciadv.abq0990	GEO Series supplementary / expression matrices (typical; verify on page)	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE118020		data/GSE/GSE118020	python3 download_geo.py	
E	GSE	GSE118068	Level 2	8	1	10.1038/s41421-024-00656-1	GEO Series supplementary / expression matrices (typical; verify on page)	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE118068		data/GSE/GSE118068	python3 download_geo.py	
E	GSE	GSE120268	Level 2	4	1	10.1101/gr.279857.124	GEO Series supplementary / expression matrices (typical; verify on page)	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE120268		data/GSE/GSE120268	python3 download_geo.py	
E	GSE	GSE121891	Level 2	30	5	10.1002/advs.202413124; 10.1016/j.cell.2022.10.021; 10.1038/s41592-024-02284-9; 10.1186/s12859-024-06003-1; 10.1186/s13073-025-01441-9	GEO Series supplementary / expression matrices (typical; verify on page)	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE121891		data/GSE/GSE121891	python3 download_geo.py	
E	GSE	GSE123814	Level 2	8	1	10.1038/s41592-026-03071-4	GEO Series supplementary / expression matrices (typical; verify on page)	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE123814		data/GSE/GSE123814	python3 download_geo.py	
E	GSE	GSE124362	Level 2	8	1	10.1002/advs.202405914	GEO Series supplementary / expression matrices (typical; verify on page)	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE124362		data/GSE/GSE124362	python3 download_geo.py	
E	GSE	GSE127003	Level 2	8	1	10.1016/j.xcrm.2025.102140	GEO Series supplementary / expression matrices (typical; verify on page)	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE127003		data/GSE/GSE127003	python3 download_geo.py	
E	GSE	GSE130268	Level 2	8	1	10.1038/s41586-025-08880-9	GEO Series supplementary / expression matrices (typical; verify on page)	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE130268		data/GSE/GSE130268	python3 download_geo.py	
E	GSE	GSE130664	Level 2	8	1	10.1111/acel.70288	GEO Series supplementary / expression matrices (typical; verify on page)	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE130664		data/GSE/GSE130664	python3 download_geo.py	
E	GSE	GSE130682	Level 2	3	1	10.1016/j.cell.2022.10.021	GEO Series supplementary / expression matrices (typical; verify on page)	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE130682		data/GSE/GSE130682	python3 download_geo.py	
